"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FT","2019-09-29","92.2","-0.8156","6.3426","Francisco Lindor",596019,502578,"field_out","hit_into_play",,,,,12,"Francisco Lindor pops out to third baseman Adrian Sanchez in foul territory.  ","R","L","R","WSH","CLE","X",5,"popup",2,2,2019,"-1.1109","0.9110","0.4079","3.6075",641343,"null",608700,1,7,"Top","79.34","174.06",,,600466,,"190929_211425","5.4411","-134.2281","-3.1269","-14.3743","25.3145","-20.8449","3.2400","1.5300","null","80.0","69.0","92.0920","2096","5.9120",565975,502578,600466,571431,572821,506703,594694,664057,572191,467827,"54.5875","0.002","0.000","0.00",1,0,0,3,56,"7","2-Seam Fastball",7,1,1,7,1,7,1,7,"Standard","Standard"
"SL","2019-09-29","83.7","-1.1786","6.0508","Francisco Lindor",596019,502578,"null","foul",,,,,8,"null","R","L","R","WSH","CLE","S","null","null",2,2,2019,"1.2223","-0.2383","0.2478","1.5376",641343,"null",608700,1,7,"Top","null","null",,,600466,,"190929_211358","0.9851","-121.6841","-3.5033","11.4283","22.3397","-34.0645","3.2400","1.5300","5","91.0","-17.0","81.7950","2148","4.9100",565975,502578,600466,571431,572821,506703,594694,664057,572191,467827,"55.5892","null","null","null","null","null","null","null",56,"6","Slider",7,1,1,7,1,7,1,7,"Standard","Standard"
"CU","2019-09-29","83.3","-1.2410","5.9754","Francisco Lindor",596019,502578,"null","foul",,,,,4,"null","R","L","R","WSH","CLE","S","null","null",2,2,2019,"1.4316","-0.4798","-0.8199","2.7069",641343,"null",608700,1,7,"Top","null","null",,,600466,,"190929_211314","-1.6939","-121.1557","-0.1647","13.9149","23.3843","-36.9639","3.2400","1.5300","14","86.2","-8.2","81.7720","2254","5.2570",565975,502578,600466,571431,572821,506703,594694,664057,572191,467827,"55.2427","null","null","null","null","null","null","null",56,"5","Curveball",7,1,1,7,1,7,1,7,"Standard","Standard"
"FT","2019-09-29","92.3","-0.9279","6.2661","Francisco Lindor",596019,502578,"null","foul",,,,,2,"null","R","L","R","WSH","CLE","S","null","null",2,1,2019,"-1.1527","0.8279","-0.0645","2.9354",641343,"null",608700,1,7,"Top","null","null",,,600466,,"190929_211245","4.5952","-134.2065","-4.3997","-14.6403","27.0760","-21.6648","3.2400","1.5300","null","null","null","91.6050","1874","5.7620",565975,502578,600466,571431,572821,506703,594694,664057,572191,467827,"54.7378","null","null","null","null","null","null","null",56,"4","2-Seam Fastball",7,1,1,7,1,7,1,7,"Standard","Standard"
"SL","2019-09-29","83.2","-1.1847","6.0293","Francisco Lindor",596019,502578,"null","blocked_ball",,,,,14,"null","R","L","R","WSH","CLE","B","null","null",1,1,2019,"1.3091","-0.7029","0.4641","-0.0086",641343,"null",608700,1,7,"Top","null","null",,,600466,,"190929_211212","1.3146","-120.9247","-5.9176","11.9507","23.9551","-37.8519","3.3203","1.4234","null","null","null","81.0340","2303","4.9150",565975,502578,600466,571431,572821,506703,594694,664057,572191,467827,"55.5847","null","null","null","null","null","null","null",56,"3","Slider",7,1,1,7,1,7,1,7,"Standard","Standard"
"FT","2019-09-29","92.6","-0.8829","6.2097","Francisco Lindor",596019,502578,"null","foul",,,,,4,"null","R","L","R","WSH","CLE","S","null","null",1,0,2019,"-1.2539","1.0061","-0.4447","2.1813",641343,"null",608700,1,7,"Top","null","null",,,600466,,"190929_211146","3.7884","-134.6856","-6.5993","-15.8774","29.1583","-18.8979","3.2400","1.5300","188","69.9","36.9","92.0230","2112","5.9610",565975,502578,600466,571431,572821,506703,594694,664057,572191,467827,"54.5381","null","null","null","null","null","null","null",56,"2","2-Seam Fastball",7,1,1,7,1,7,1,7,"Standard","Standard"
"FT","2019-09-29","92.7","-0.8457","6.3243","Francisco Lindor",596019,502578,"null","ball",,,,,11,"null","R","L","R","WSH","CLE","B","null","null",0,0,2019,"-1.1611","1.0323","-0.6121","4.5794",641343,"null",608700,1,7,"Top","null","null",,,600466,,"190929_211122","3.0295","-134.8841","-0.8626","-14.4983","28.9281","-19.9235","3.2915","1.3374","null","null","null","91.6960","2168","5.6560",565975,502578,600466,571431,572821,506703,594694,664057,572191,467827,"54.8432","null","null","null","null","null","null","null",56,"1","2-Seam Fastball",7,1,1,7,1,7,1,7,"Standard","Standard"
"SL","2019-09-29","86.1","-2.8980","5.6436","Francisco Lindor",596019,605452,"field_out","hit_into_play",,,,,8,"Francisco Lindor flies out to right fielder Michael A.   Taylor.  ","R","L","R","WSH","CLE","X",9,"fly_ball",1,2,2019,"0.3181","0.2216","0.2732","2.4629","null","null","null",1,5,"Top","175.41","81.66",,,600466,,"190929_202232","6.9067","-125.3193","-1.7975","2.0499","24.1458","-29.6703","3.8400","1.8400","301","91.1","44.1","86.6180","1759","6.5010",565975,605452,600466,571431,572821,594694,607208,664057,645302,572191,"53.9982","0.005","0.011","0.00",1,0,0,3,35,"4","Slider",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2019-09-29","94.3","-2.9401","5.7135","Francisco Lindor",596019,605452,"null","foul",,,,,14,"null","R","L","R","WSH","CLE","S","null","null",1,1,2019,"-0.5738","1.1378","1.1113","2.1000","null","null","null",1,5,"Top","null","null",,,600466,,"190929_202149","11.9362","-136.8270","-6.3236","-9.8627","28.4791","-16.4037","3.2400","1.5300","9","93.8","-12.7","95.3100","2017","6.9040",565975,605452,600466,571431,572821,594694,607208,664057,645302,572191,"53.5955","null","null","null","null","null","null","null",35,"3","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2019-09-29","95.0","-3.0493","5.7770","Francisco Lindor",596019,605452,"null","foul",,,,,4,"null","R","L","R","WSH","CLE","S","null","null",1,0,2019,"-0.5045","1.1850","-0.4646","2.3664","null","null","null",1,5,"Top","null","null",,,600466,,"190929_202130","7.9268","-138.0544","-5.9542","-8.2268","30.1650","-15.8194","3.2400","1.5300","228","82.4","51.7","95.3320","2215","6.5140",565975,605452,600466,571431,572821,594694,607208,664057,645302,572191,"53.9859","null","null","null","null","null","null","null",35,"2","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
