"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2019-09-27","96.6","-0.6402","6.5094","Howie Kendrick",435062,675916,"field_out","hit_into_play",,,,,12,"Howie Kendrick lines out to center fielder Oscar Mercado.  ","R","R","R","WSH","CLE","X",8,"line_drive",1,0,2019,"-0.4713","1.6285","1.0191","2.6288","null",543685,"null",1,7,"Bot","157.94","74.29",,,547379,,"190928_012222","5.4317","-140.2607","-8.3373","-7.3674","31.6994","-9.3079","3.4900","1.6900","305","93.3","18.3","95.8520","2514","5.9780",565973,675916,547379,467793,502273,475247,596019,656185,640458,624577,"54.5213","0.485","0.509","0.00",1,0,0,4,56,"2","4-Seam Fastball",7,2,7,2,2,7,7,2,"Standard","Standard"
"FF","2019-09-27","96.1","-0.7624","6.5415","Howie Kendrick",435062,675916,"null","ball",,,,,14,"null","R","R","R","WSH","CLE","B","null","null",0,0,2019,"-0.5705","1.7784","1.6828","1.8813","null",543685,"null",1,7,"Bot","null","null",,,547379,,"190928_012149","7.6606","-139.3454","-10.5419","-9.0690","32.2622","-7.2359","3.0566","1.4069","null","null","null","94.9490","2528","5.8860",565973,675916,547379,467793,502273,475247,596019,656185,640458,624577,"54.6134","null","null","null","null","null","null","null",56,"1","4-Seam Fastball",7,2,7,2,2,7,7,2,"Standard","Standard"
"FF","2019-09-27","92.5","-1.2248","5.8465","Howie Kendrick",435062,580792,"field_out","hit_into_play",,,,,2,"Howie Kendrick flies out to left fielder Greg Allen.  ","R","R","R","WSH","CLE","X",7,"fly_ball",0,0,2019,"-0.3776","1.5684","0.2149","3.1217","null","null",665742,0,6,"Bot","87.06","79.49",,,547379,,"190928_004759","4.4736","-134.6138","-4.5357","-5.5062","28.2738","-12.4735","3.0906","1.6962","297","90.9","44.2","92.3700","2261","6.1340",565973,580792,547379,467793,502273,475247,596019,656185,640458,624577,"54.3658","0.005","0.011","0.00",1,0,0,3,43,"1","4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"SL","2019-09-27","87.5","-0.8612","6.0388","Howie Kendrick",435062,668676,"field_out","hit_into_play",,,,,8,"Howie Kendrick grounds out to first baseman Carlos Santana.  ","R","R","R","WSH","CLE","X",3,"ground_ball",1,1,2019,"0.0186","0.5791","0.0485","1.5217","null",594809,543685,2,3,"Bot","145.37","177.62",,,547379,,"190927_235900","2.1551","-127.4020","-6.0208","-0.1828","22.8724","-24.9461","3.1100","1.4000","null","82.9","-20.7","87.9210","2069","6.2400",565973,668676,547379,467793,502273,475247,596019,656185,640458,624577,"54.2595","0.075","0.065","0.00",1,0,0,2,25,"3","Slider",2,2,2,2,2,2,2,2,"Standard","Standard"
"SL","2019-09-27","85.0","-0.8949","6.0281","Howie Kendrick",435062,668676,"null","called_strike",,,,,12,"null","R","R","R","WSH","CLE","S","null","null",1,0,2019,"0.0809","0.4653","0.9909","2.2291","null",594809,543685,2,3,"Bot","null","null",,,547379,,"190927_235832","4.2318","-123.7129","-3.5492","0.0773","21.8757","-27.0062","2.9991","1.4069","null","null","null","84.8710","2033","5.9410",565973,668676,547379,467793,502273,475247,596019,656185,640458,624577,"54.5582","null","null","null","null","null","null","null",25,"2","Slider",2,2,2,2,2,2,2,2,"Standard","Standard"
"SL","2019-09-27","86.7","-0.8737","6.1116","Howie Kendrick",435062,668676,"null","ball",,,,,11,"null","R","R","R","WSH","CLE","B","null","null",0,0,2019,"0.2146","0.4686","-0.1496","3.5568","null",594809,543685,2,3,"Bot","null","null",,,547379,,"190927_235807","1.2916","-126.3583","-0.9319","2.0404","22.6832","-27.2613","2.8841","1.4069","null","null","null","86.4280","2119","5.7640",565973,668676,547379,467793,502273,475247,596019,656185,640458,624577,"54.7350","null","null","null","null","null","null","null",25,"1","Slider",2,2,2,2,2,2,2,2,"Standard","Standard"
"CU","2019-09-27","80.4","-0.7195","6.0416","Howie Kendrick",435062,668676,"single","hit_into_play_no_out",,,,,9,"Howie Kendrick singles on a line drive to center fielder Oscar Mercado.  ","R","R","R","WSH","CLE","X",8,"line_drive",1,2,2019,"0.3629","-0.5741","0.5170","2.0534","null","null","null",1,2,"Bot","130.72","85.18",,,547379,,"190927_232912","2.0453","-117.0108","-1.1612","2.9068","20.0264","-37.3629","3.4900","1.6900","176","89.3","12.7","79.5560","1605","5.4880",565973,668676,547379,467793,502273,475247,596019,656185,640458,624577,"55.0115","0.915","0.851","0.90",1,1,0,4,11,"4","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"SL","2019-09-27","87.3","-0.6926","6.1266","Howie Kendrick",435062,668676,"null","ball",,,,,14,"null","R","R","R","WSH","CLE","B","null","null",0,2,2019,"0.3136","0.6492","1.3233","2.1642","null","null","null",1,2,"Bot","null","null",,,547379,,"190927_232846","4.1911","-127.1027","-4.7416","2.6171","23.0616","-24.5305","2.9416","1.4069","null","null","null","87.1860","1962","5.9320",565973,668676,547379,467793,502273,475247,596019,656185,640458,624577,"54.5674","null","null","null","null","null","null","null",11,"3","Slider",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2019-09-27","94.1","-0.7666","6.1661","Howie Kendrick",435062,668676,"null","foul",,,,,3,"null","R","R","R","WSH","CLE","S","null","null",0,1,2019,"-0.6585","1.5380","0.6878","2.9255","null","null","null",1,2,"Bot","null","null",,,547379,,"190927_232825","5.1835","-136.8252","-6.0213","-9.3194","30.2205","-11.9852","3.1100","1.4000","279","87.4","41.2","93.5650","2140","6.0190",565973,668676,547379,467793,502273,475247,596019,656185,640458,624577,"54.4810","null","null","null","null","null","null","null",11,"2","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2019-09-27","95.0","-0.8209","6.1125","Howie Kendrick",435062,668676,"null","called_strike",,,,,9,"null","R","R","R","WSH","CLE","S","null","null",0,0,2019,"-0.6746","1.5216","0.4660","1.5412","null","null","null",1,2,"Bot","null","null",,,547379,,"190927_232805","4.8202","-137.9116","-9.5888","-9.5596","29.7859","-11.1145","2.9416","1.4069","null","null","null","94.3800","2057","5.9940",565973,668676,547379,467793,502273,475247,596019,656185,640458,624577,"54.5057","null","null","null","null","null","null","null",11,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
