"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2019-09-06","95.1","-1.1353","6.5042","Mike Trout",545361,608337,"field_out","hit_into_play",,,,,5,"Mike Trout flies out to center fielder Adam Engel.  ","R","R","R","CWS","LAA","X",8,"fly_ball",0,1,2019,"-0.9179","1.5267","-0.0760","2.7360","null","null","null",2,3,"Top","135.66","47.98",,,543510,,"190907_005821","4.8539","-138.3833","-7.7086","-12.9033","29.2719","-10.9899","3.3600","1.5400","358","91.0","30.2","95.5740","2430","6.4470",567332,608337,543510,547989,664901,660162,641313,650391,641553,641477,"54.0527","0.105","0.139","0.00",1,0,0,3,20,"2","4-Seam Fastball",2,1,1,2,1,2,1,2,"Standard","Standard"
"FF","2019-09-06","95.2","-1.0666","6.4287","Mike Trout",545361,608337,"null","called_strike",,,,,4,"null","R","R","R","CWS","LAA","S","null","null",0,0,2019,"-0.9146","1.5509","-0.4535","2.6556","null","null","null",2,3,"Top","null","null",,,543510,,"190907_005753","3.6780","-138.5580","-7.7944","-12.6415","29.6918","-10.6060","3.4300","1.6300","null","null","null","95.6490","2475","6.4460",567332,608337,543510,547989,664901,660162,641313,650391,641553,641477,"54.0538","null","null","null","null","null","null","null",20,"1","4-Seam Fastball",2,1,1,2,1,2,1,2,"Standard","Standard"
"FF","2019-09-06","95.7","-1.1906","6.5134","Mike Trout",545361,608337,"field_out","hit_into_play",,,,,4,"Mike Trout flies out to left fielder Eloy Jimenez.  ","R","R","R","CWS","LAA","X",7,"fly_ball",2,0,2019,"-0.8721","1.3855","-0.7687","2.5112","null","null","null",1,1,"Top","54.77","115.57",,,543510,,"190907_001403","3.1757","-139.3337","-8.3000","-12.3545","29.4729","-12.0257","3.4300","1.6300","259","82.2","49.7","97.2960","2423","7.0340",567332,608337,543510,547989,664901,660162,641313,650391,641553,641477,"53.4655","0.022","0.012","0.00",1,0,0,3,2,"3","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2019-09-06","81.5","-1.1657","6.5256","Mike Trout",545361,608337,"null","ball",,,,,11,"null","R","R","R","CWS","LAA","B","null","null",1,0,2019,"-0.7392","1.1077","-0.1568","4.4147","null","null","null",1,1,"Top","null","null",,,543510,,"190907_001335","3.7685","-118.7836","-0.3753","-7.8530","21.5992","-21.5403","3.4300","1.6300","null","null","null","82.7690","1518","6.9350",567332,608337,543510,547989,664901,660162,641313,650391,641553,641477,"53.5644","null","null","null","null","null","null","null",2,"2","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2019-09-06","95.7","-1.0997","6.5406","Mike Trout",545361,608337,"null","ball",,,,,12,"null","R","R","R","CWS","LAA","B","null","null",0,0,2019,"-0.7167","1.7727","0.0162","3.9406","null","null","null",1,1,"Top","null","null",,,543510,,"190907_001319","4.5902","-139.2957","-5.2952","-10.4106","31.0746","-7.9814","3.4300","1.6300","null","null","null","96.1460","2522","6.5150",567332,608337,543510,547989,664901,660162,641313,650391,641553,641477,"53.9844","null","null","null","null","null","null","null",2,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2019-09-05","96.4","3.0727","6.2675","Mike Trout",545361,640462,"walk","ball",,,,,13,"Mike Trout walks.  ","R","R","L","OAK","LAA","B","null","null",3,1,2019,"0.7790","1.0178","-0.5278","1.0777","null","null","null",1,7,"Top","null","null",,,572033,,"190905_213516","-11.6856","-139.9163","-10.9189","13.0924","27.3573","-16.0471","3.3018","1.5702","null","null","null","99.0770","2248","7.6200",566155,640462,572033,621566,641914,656305,543760,595777,592192,640461,"52.8796","null","null","0.70",1,0,0,"null",54,"5","4-Seam Fastball",1,6,6,1,6,1,6,1,"Standard","Standard"
"FF","2019-09-05","96.9","3.0018","6.3724","Mike Trout",545361,640462,"null","called_strike",,,,,5,"null","R","R","L","OAK","LAA","S","null","null",3,0,2019,"0.8751","1.3183","-0.0241","2.5870","null","null","null",1,7,"Top","null","null",,,572033,,"190905_213458","-10.2376","-140.8822","-7.7785","14.0372","27.9597","-12.7055","3.3971","1.6409","null","null","null","98.4710","2261","6.9350",566155,640462,572033,621566,641914,656305,543760,595777,592192,640461,"53.5646","null","null","null","null","null","null","null",54,"4","4-Seam Fastball",1,6,6,1,6,1,6,1,"Standard","Standard"
"CH","2019-09-05","90.5","3.0579","6.2372","Mike Trout",545361,640462,"null","ball",,,,,13,"null","R","R","L","OAK","LAA","B","null","null",2,0,2019,"1.1389","1.0062","-0.8115","0.6344","null","null","null",1,7,"Top","null","null",,,572033,,"190905_213439","-12.3139","-131.0942","-10.3540","16.0432","26.2405","-18.2675","3.4468","1.6639","null","null","null","91.7960","2063","7.1960",566155,640462,572033,621566,641914,656305,543760,595777,592192,640461,"53.3038","null","null","null","null","null","null","null",54,"3","Changeup",1,6,6,1,6,1,6,1,"Standard","Standard"
"FF","2019-09-05","97.5","3.0846","6.3860","Mike Trout",545361,640462,"null","ball",,,,,13,"null","R","R","L","OAK","LAA","B","null","null",1,0,2019,"0.7363","1.2210","-1.2810","1.1250","null","null","null",1,7,"Top","null","null",,,572033,,"190905_213419","-13.5242","-141.2006","-11.5339","12.8725","29.1420","-13.2488","3.4341","1.5260","null","null","null","98.3580","2354","6.8220",566155,640462,572033,621566,641914,656305,543760,595777,592192,640461,"53.6771","null","null","null","null","null","null","null",54,"2","4-Seam Fastball",1,6,6,1,6,1,6,1,"Strategic","Standard"
"SL","2019-09-05","90.3","3.3466","6.2012","Mike Trout",545361,640462,"null","ball",,,,,13,"null","R","R","L","OAK","LAA","B","null","null",0,0,2019,"-0.1616","0.4156","-0.2899","1.0073","null","null","null",1,7,"Top","null","null",,,572033,,"190905_213403","-8.7831","-131.2122","-7.9699","-0.1779","25.8691","-25.8679","3.4695","1.5315","null","null","null","91.3640","2278","6.8570",566155,640462,572033,621566,641914,656305,543760,595777,592192,640461,"53.6423","null","null","null","null","null","null","null",54,"1","Slider",1,6,6,1,6,1,6,1,"Strategic","Standard"
"FF","2019-09-05","88.7","1.2330","6.3954","Mike Trout",545361,474463,"force_out","hit_into_play",,,,,7,"Mike Trout grounds into a force out, third baseman Matt Chapman to second baseman Sheldon Neuse.   David Fletcher out at 2nd.    Mike Trout to 1st.  ","R","R","L","OAK","LAA","X",5,"ground_ball",1,0,2019,"-0.0826","0.8377","-0.6083","1.9745","null","null",664058,0,5,"Top","103.83","179.81",,,572033,,"190905_205157","-4.3027","-129.1461","-6.5502","-0.2101","21.3823","-21.9173","3.4000","1.6200","75","49.1","13.8","88.8360","2109","5.8890",566155,474463,572033,621566,641914,656305,543760,595777,592192,640461,"54.6104","0.140","0.117","0.00",1,0,0,1,36,"2","4-Seam Fastball",1,4,4,1,4,1,4,1,"Standard","Standard"
"CH","2019-09-05","82.9","1.7645","6.6136","Mike Trout",545361,474463,"null","ball",,,,,14,"null","R","R","L","OAK","LAA","B","null","null",0,0,2019,"1.0464","0.4254","1.1135","1.0827","null","null",664058,0,5,"Top","null","null",,,572033,,"190905_205136","-3.4559","-120.5998","-6.9829","10.7041","20.7144","-27.0775","3.4062","1.5639","null","null","null","82.5750","1481","5.8260",566155,474463,572033,621566,641914,656305,543760,595777,592192,640461,"54.6730","null","null","null","null","null","null","null",36,"1","Changeup",1,4,4,1,4,1,4,1,"Standard","Standard"
"SI","2019-09-05","89.8","1.5661","6.4143","Mike Trout",545361,474463,"home_run","hit_into_play_score",,,,,6,"Mike Trout homers (45) on a fly ball to center field.   David Fletcher scores.  ","R","R","L","OAK","LAA","X","null","fly_ball",0,0,2019,"1.1788","0.5701","0.5806","2.4802","null","null",664058,0,3,"Top","101.88","6.91",,,572033,,"190905_202026","-4.8050","-130.5963","-4.8973","14.1746","26.0865","-25.0424","3.4000","1.6200","455","111.1","25.5","88.9090","1838","5.6530",566155,474463,572033,621566,641914,656305,543760,595777,592192,640461,"54.8466","0.998","1.932","2.00",1,0,3,6,19,"1","Sinker",1,2,2,1,2,1,2,1,"Standard","Standard"
"FF","2019-09-05","90.9","1.1700","6.6162","Mike Trout",545361,474463,"single","hit_into_play_no_out",,,,,5,"Mike Trout singles on a ground ball to shortstop Marcus Semien.  ","R","R","L","OAK","LAA","X",6,"ground_ball",1,2,2019,"0.2873","0.8749","0.1274","2.5551","null","null","null",1,1,"Top","110.91","156.43",,,572033,,"190905_193920","-3.2025","-132.3918","-6.2022","3.9349","22.7484","-20.9902","3.4000","1.6200","20","82.1","-6.0","91.2080","1936","5.9950",566155,474463,572033,621566,641914,656305,543760,595777,592192,640461,"54.5047","0.172","0.144","0.90",1,1,0,2,2,"4","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
