"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2019-09-29","99.8","0.4696","6.2934","Shin-Soo Choo",425783,547973,"strikeout","called_strike",,,,,13,"Shin-Soo Choo called out on strikes.  ","R","L","L","TEX","NYY","S",2,"null",2,2,2019,"0.6053","1.5261","-0.9059","2.3808","null","null","null",2,8,"Bot","null","null",,,543309,,"190929_214635","-5.2515","-145.0940","-9.0434","9.8614","34.0297","-8.4971","3.3936","1.4775","null","null","null","100.3220","2692","6.6310",566848,547973,543309,645801,650402,642180,642731,457727,458731,640449,"53.8683","null","null","0.00",1,0,0,"null",64,"5","4-Seam Fastball",6,1,6,1,1,6,6,1,"Strategic","Standard"
"FF","2019-09-29","100.2","0.6733","6.3043","Shin-Soo Choo",425783,547973,"null","ball",,,,,13,"null","R","L","L","TEX","NYY","B","null","null",1,2,2019,"0.6126","1.5169","-1.3949","2.0883","null","null","null",2,8,"Bot","null","null",,,543309,,"190929_214610","-7.2317","-145.6122","-10.0077","10.4553","31.6341","-8.1824","3.3465","1.4736","null","null","null","101.2130","2691","6.7470",566848,547973,543309,645801,650402,642180,642731,457727,458731,640449,"53.7524","null","null","null","null","null","null","null",64,"4","4-Seam Fastball",6,1,6,1,1,6,6,1,"Strategic","Standard"
"SL","2019-09-29","86.8","0.5177","6.3595","Shin-Soo Choo",425783,547973,"null","called_strike",,,,,2,"null","R","L","L","TEX","NYY","S","null","null",1,1,2019,"-0.9087","0.3973","-0.0555","2.8101","null","null","null",2,8,"Bot","null","null",,,543309,,"190929_214548","0.4873","-126.3839","-3.1017","-9.8018","26.8494","-27.4993","3.3216","1.4750","null","null","null","86.7700","2704","6.3330",566848,547973,543309,645801,650402,642180,642731,457727,458731,640449,"54.1668","null","null","null","null","null","null","null",64,"3","Slider",6,1,6,1,1,6,6,1,"Standard","Standard"
"SL","2019-09-29","87.4","0.7191","6.3764","Shin-Soo Choo",425783,547973,"null","called_strike",,,,,8,"null","R","L","L","TEX","NYY","S","null","null",1,0,2019,"-0.5750","0.2540","0.1433","1.9715","null","null","null",2,8,"Bot","null","null",,,543309,,"190929_214526","-0.2126","-127.2563","-5.0254","-6.1975","24.2482","-28.6696","3.3975","1.5273","null","null","null","87.5020","null","6.1610",566848,547973,543309,645801,650402,642180,642731,457727,458731,640449,"54.3387","null","null","null","null","null","null","null",64,"2","Slider",6,1,6,1,1,6,6,1,"Standard","Standard"
"SL","2019-09-29","86.7","0.7336","6.2988","Shin-Soo Choo",425783,547973,"null","ball",,,,,13,"null","R","L","L","TEX","NYY","B","null","null",0,0,2019,"-0.6006","0.1984","-0.0991","1.2710","null","null","null",2,8,"Bot","null","null",,,543309,,"190929_214510","-0.7615","-126.3393","-6.3394","-6.3799","23.0449","-29.0482","3.4108","1.4170","null","null","null","87.5560","null","6.5180",566848,547973,543309,645801,650402,642180,642731,457727,458731,640449,"53.9813","null","null","null","null","null","null","null",64,"1","Slider",6,1,6,1,1,6,6,1,"Standard","Standard"
"FT","2019-09-29","91.8","-2.7168","5.3530","Shin-Soo Choo",425783,493603,"walk","ball",,,,,11,"Shin-Soo Choo walks.   Jose Trevino to 2nd.  ","R","L","R","TEX","NYY","B","null","null",3,0,2019,"-1.2542","0.1678","-1.0455","3.2266","null","null",624431,0,6,"Bot","null","null",,,596142,,"190929_210938","7.0326","-133.4599","0.2527","-16.7576","35.4135","-30.4919","3.4154","1.5840","null","null","null","91.4940","2117","6.6930",566848,493603,596142,518934,650402,642180,544369,457727,458731,592450,"53.8067","null","null","0.70",1,0,0,"null",49,"4","2-Seam Fastball",5,1,5,1,1,5,5,1,"Infield shift","Strategic"
"FT","2019-09-29","91.7","-2.6107","5.3986","Shin-Soo Choo",425783,493603,"null","ball",,,,,11,"null","R","L","R","TEX","NYY","B","null","null",2,0,2019,"-1.4526","0.6303","-0.6849","3.5874","null","null",624431,0,6,"Bot","null","null",,,596142,,"190929_210914","8.1788","-133.3310","-0.0642","-19.4765","30.5108","-24.7153","3.3435","1.4647","null","null","null","92.5070","2186","6.9600",566848,493603,596142,518934,650402,642180,544369,457727,458731,592450,"53.5391","null","null","null","null","null","null","null",49,"3","2-Seam Fastball",5,1,5,1,1,5,5,1,"Infield shift","Strategic"
"FT","2019-09-29","92.5","-2.6998","5.3573","Shin-Soo Choo",425783,493603,"null","ball",,,,,11,"null","R","L","R","TEX","NYY","B","null","null",1,0,2019,"-1.4561","0.4693","-1.3748","3.8263","null","null",624431,0,6,"Bot","null","null",,,596142,,"190929_210850","6.6923","-134.4917","0.9750","-19.4584","33.9085","-26.9104","3.3349","1.4818","null","null","null","92.7960","2202","6.8830",566848,493603,596142,518934,650402,642180,544369,457727,458731,592450,"53.6168","null","null","null","null","null","null","null",49,"2","2-Seam Fastball",5,1,5,1,1,5,5,1,"Infield shift","Strategic"
"FT","2019-09-29","93.0","-2.6074","5.4034","Shin-Soo Choo",425783,493603,"null","ball",,,,,11,"null","R","L","R","TEX","NYY","B","null","null",0,0,2019,"-1.2509","0.5384","-0.4267","3.6482","null","null",624431,0,6,"Bot","null","null",,,596142,,"190929_210829","8.4928","-135.2524","0.1598","-17.5993","33.5551","-25.7560","3.3387","1.4620","null","null","null","93.4900","2203","6.9240",566848,493603,596142,518934,650402,642180,544369,457727,458731,592450,"53.5757","null","null","null","null","null","null","null",49,"1","2-Seam Fastball",5,1,5,1,1,5,5,1,"Infield shift","Strategic"
"FF","2019-09-29","91.2","-2.1086","5.2460","Shin-Soo Choo",425783,547888,"walk","ball",,,,,11,"Shin-Soo Choo walks.   Jose Trevino to 2nd.  ","R","L","R","TEX","NYY","B","null","null",3,2,2019,"-0.4226","1.1707","-1.1056","3.8035",592261,"null",624431,2,4,"Bot","null","null",,,596142,,"190929_202747","3.3638","-132.7727","-0.2311","-5.5703","26.4468","-18.7876","3.3148","1.4646","null","null","null","90.4280","2112","5.6350",566848,547888,596142,518934,650402,642180,544369,457727,458731,592450,"54.8641","null","null","0.70",1,0,0,"null",34,"6","4-Seam Fastball",3,1,3,1,1,3,3,1,"Infield shift","Standard"
