"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2019-09-29","98.4","-1.9530","5.7396","Gerrit Cole",592230,543037,"strikeout","swinging_strike",,,,,1,"Kaleb Cowart strikes out swinging.  ","R","L","R","LAA","HOU","S",2,"null",1,2,2019,"-1.1215","1.5101","-0.4741","2.9800","null","null",571718,2,5,"Bot","null","null",,,455117,,"190929_210736","6.6359","-143.1398","-5.5469","-16.9907","33.0110","-10.2877","3.5000","1.6500","null","null","null","98.6360","2701","6.4380",564814,543037,455117,493329,649557,647351,608686,664702,545350,663656,"54.0619","null","null","0.00",1,0,0,"null",51,"5","4-Seam Fastball",1,8,1,8,8,1,1,8,"Infield shift","Standard"
"FF","2019-09-29","99.0","-1.8961","5.7786","Gerrit Cole",592230,543037,"null","ball",,,,,11,"null","R","L","R","LAA","HOU","B","null","null",0,2,2019,"-1.1348","1.5008","-0.6243","4.1206","null","null",571718,2,5,"Bot","null","null",,,455117,,"190929_210717","6.1101","-144.0324","-2.5805","-17.1801","33.9823","-10.9722","3.5000","1.6500","null","null","null","98.9150","2558","6.2880",564814,543037,455117,493329,649557,647351,608686,664702,545350,663656,"54.2111","null","null","null","null","null","null","null",51,"4","4-Seam Fastball",1,8,1,8,8,1,1,8,"Infield shift","Standard"
"KC","2019-09-29","86.2","-1.9253","5.7561","Gerrit Cole",592230,543037,"null","foul",,,,,8,"null","R","L","R","LAA","HOU","S","null","null",0,2,2019,"0.5510","-1.0557","0.1349","1.7782","null","null",571718,2,5,"Bot","null","null",,,455117,,"190929_210645","3.7649","-125.4362","-1.1118","4.9471","25.4387","-43.1314","3.5000","1.6500","null","null","null","85.4790","3045","5.8290",564814,543037,455117,493329,649557,647351,608686,664702,545350,663656,"54.6709","null","null","null","null","null","null","null",51,"3","Knuckle Curve",1,8,1,8,8,1,1,8,"Infield shift","Standard"
"FF","2019-09-29","99.4","-1.9853","5.7987","Gerrit Cole",592230,543037,"null","foul",,,,,5,"null","R","L","R","LAA","HOU","S","null","null",0,1,2019,"-0.9603","1.4877","0.2067","2.5691","null","null",571718,2,5,"Bot","null","null",,,455117,,"190929_210556","8.1608","-144.3720","-6.8395","-15.1072","31.6673","-10.2616","3.5000","1.6500","189","67.9","43.4","98.9170","2551","5.9940",564814,543037,455117,493329,649557,647351,608686,664702,545350,663656,"54.5058","null","null","null","null","null","null","null",51,"2","4-Seam Fastball",1,8,1,8,8,1,1,8,"Infield shift","Standard"
"FF","2019-09-29","98.5","-1.9848","5.7508","Gerrit Cole",592230,543037,"null","swinging_strike",,,,,5,"null","R","L","R","LAA","HOU","S","null","null",0,0,2019,"-1.0363","1.4799","-0.2612","2.9031","null","null",571718,2,5,"Bot","null","null",,,455117,,"190929_210527","7.0373","-143.2012","-5.6691","-15.7568","32.0271","-10.8715","3.5000","1.6500","null","null","null","98.2650","2585","6.1370",564814,543037,455117,493329,649557,647351,608686,664702,545350,663656,"54.3620","null","null","null","null","null","null","null",51,"1","4-Seam Fastball",1,8,1,8,8,1,1,8,"Infield shift","Standard"
"FF","2019-09-29","99.2","-1.8893","5.7494","Gerrit Cole",571718,543037,"walk","ball",,,,,8,"Brian Goodwin walks.  ","R","L","R","LAA","HOU","B","null","null",3,2,2019,"-1.1467","1.4450","0.0422","1.4187","null","null","null",2,5,"Bot","null","null",,,455117,,"190929_210427","7.9074","-144.0011","-9.7197","-17.6800","32.8832","-10.1703","3.3200","1.5200","null","null","null","98.8290","2683","6.1790",564814,543037,455117,493329,649557,647351,608686,664702,545350,663656,"54.3202","null","null","0.70",1,0,0,"null",50,"7","4-Seam Fastball",1,8,1,8,8,1,1,8,"Infield shift","Standard"
"FF","2019-09-29","100.5","-1.9821","5.7529","Gerrit Cole",571718,543037,"null","foul",,,,,11,"null","R","L","R","LAA","HOU","S","null","null",3,2,2019,"-1.0430","1.6101","-0.0366","3.5659","null","null","null",2,5,"Bot","null","null",,,455117,,"190929_210356","7.7937","-145.9795","-4.3947","-16.6858","38.0489","-8.6601","3.3200","1.5200","165","84.3","16.4","99.5110","2666","6.0850",564814,543037,455117,493329,649557,647351,608686,664702,545350,663656,"54.4146","null","null","null","null","null","null","null",50,"6","4-Seam Fastball",1,8,1,8,8,1,1,8,"Infield shift","Standard"
"FF","2019-09-29","99.8","-1.9522","5.7566","Gerrit Cole",571718,543037,"null","ball",,,,,14,"null","R","L","R","LAA","HOU","B","null","null",2,2,2019,"-0.9637","1.7079","0.4103","0.8077","null","null","null",2,5,"Bot","null","null",,,455117,,"190929_210322","8.6998","-144.5032","-12.0583","-15.5421","36.3165","-5.7139","3.3200","1.5200","null","null","null","98.8520","2751","6.2150",564814,543037,455117,493329,649557,647351,608686,664702,545350,663656,"54.2849","null","null","null","null","null","null","null",50,"5","4-Seam Fastball",1,8,1,8,8,1,1,8,"Infield shift","Standard"
"FF","2019-09-29","97.7","-2.0066","5.7215","Gerrit Cole",571718,543037,"null","swinging_strike",,,,,4,"null","R","L","R","LAA","HOU","S","null","null",2,1,2019,"-1.1760","1.5271","-0.5760","2.6410","null","null","null",2,5,"Bot","null","null",,,455117,,"190929_210301","6.5187","-142.0133","-6.2283","-17.3126","34.2563","-10.4680","3.3200","1.5200","null","null","null","97.1520","2630","6.1590",564814,543037,455117,493329,649557,647351,608686,664702,545350,663656,"54.3404","null","null","null","null","null","null","null",50,"4","4-Seam Fastball",1,8,1,8,8,1,1,8,"Infield shift","Standard"
"FF","2019-09-29","99.1","-1.8987","5.8190","Gerrit Cole",571718,543037,"null","ball",,,,,11,"null","R","L","R","LAA","HOU","B","null","null",1,1,2019,"-0.9805","1.5294","-0.4720","4.4234","null","null","null",2,5,"Bot","null","null",,,455117,,"190929_210243","6.0755","-144.0979","-1.8482","-14.8165","34.5846","-11.1453","3.3200","1.5200","null","null","null","97.9950","2631","5.7820",564814,543037,455117,493329,649557,647351,608686,664702,545350,663656,"54.7171","null","null","null","null","null","null","null",50,"3","4-Seam Fastball",1,8,1,8,8,1,1,8,"Infield shift","Standard"
