pitch_type,pitch_name,release_speed,release_pos_x,release_pos_z,player_name,events,description,zone,stand,p_throws,type,,,,,,,,,,,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,,,,,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,,,,,,,,,,,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
CH,Changeup,82,2.635,5.5313,Hyun-Jin Ryu,strikeout,swinging_strike,14,R,L,S,,,,,,,,,,,2,null,1,2,2019,1.4102,0.4857,1.4963,1.7262,null,null,664041,2,7,Bot,null,null,,,,,190928_215940,-5.3065,-119.3431,-2.9924,14.4966,23.0132,-27.1714,3.0952,1.4087,null,null,null,82.109,1319,6.358,,,,,,,,,,,54.142,null,null,0,1,0,0,null,52,4
CH,Changeup,82.4,2.6012,5.541,Hyun-Jin Ryu,null,ball,12,R,L,B,,,,,,,,,,,null,null,0,2,2019,1.1267,0.3957,1.3805,2.4572,null,null,664041,2,7,Bot,null,null,,,,,190928_215918,-5.02,-120.0856,-1.331,11.9653,21.5966,-28.2355,3.1616,1.4566,null,null,null,83.274,1485,6.627,,,,,,,,,,,53.8729,null,null,null,null,null,null,null,52,3
FF,4-Seam Fastball,87.8,2.3144,5.8095,Hyun-Jin Ryu,null,foul,1,R,L,S,,,,,,,,,,,null,null,0,1,2019,0.5719,0.8008,-0.6186,3.0571,null,null,664041,2,7,Bot,null,null,,,,,190928_215844,-8.2817,-127.7068,-2.2425,7.8488,23.9851,-23.1372,3.1472,1.4288,6,78.3,-28.9,88.144,2017,6.332,,,,,,,,,,,54.1671,null,null,null,null,null,null,null,52,2
CH,Changeup,80.3,2.5657,5.5542,Hyun-Jin Ryu,null,foul_bunt,12,R,L,S,,,,,,,,,,,null,null,0,0,2019,0.9483,1.1965,0.2453,3.2932,null,null,664041,2,7,Bot,null,null,,,,,190928_215815,-6.9368,-116.8164,-0.5553,10.0073,22.6843,-21.361,3.0644,1.3438,null,null,null,80.267,1790,6.351,,,,,,,,,,,54.148,null,null,null,null,null,null,null,52,1
FC,Cutter,86.7,2.2796,5.8082,Hyun-Jin Ryu,single,hit_into_play_no_out,8,R,L,X,,,,,,,,,,,6,ground_ball,0,0,2019,-0.0986,0.6843,-0.1969,2.0086,null,null,null,2,7,Bot,106.26,148.16,,,,,190928_215732,-5.6963,-126.2683,-4.3536,-0.0872,21.4655,-24.3029,3.5901,1.7971,14,106.8,-7.9,86.937,2095,6.027,,,,,,,,,,,54.4724,0.338,0.304,0.9,1,1,0,2,51,1
FF,4-Seam Fastball,89.9,2.3626,5.6899,Hyun-Jin Ryu,field_out,hit_into_play,11,R,L,X,,,,,,,,,,,5,ground_ball,1,1,2019,0.6606,1.1245,-0.934,2.7778,null,null,null,1,7,Bot,98.64,165.43,,,,,190928_215650,-9.5614,-130.6642,-3.6689,9.4022,24.247,-18.6982,3.4426,1.719,32,86.4,-2.3,90.303,2038,6.334,,,,,,,,,,,54.1651,0.242,0.213,0,1,0,0,2,50,3
CH,Changeup,78.4,2.6122,5.5923,Hyun-Jin Ryu,null,called_strike,3,R,L,S,,,,,,,,,,,null,null,1,0,2019,0.7796,0.4949,0.5839,2.9285,null,null,null,1,7,Bot,null,null,,,,,190928_215631,-5.827,-114.0248,0.1864,7.8685,20.8778,-28.1045,3.3697,1.6467,null,null,null,78.463,1527,6.353,,,,,,,,,,,54.1469,null,null,null,null,null,null,null,50,2
FF,4-Seam Fastball,88.5,2.3288,5.69,Hyun-Jin Ryu,null,ball,11,R,L,B,,,,,,,,,,,null,null,0,0,2019,0.6936,1.2471,-1.4089,3.3576,null,null,null,1,7,Bot,null,null,,,,,190928_215611,-10.5506,-128.5017,-2.2092,9.8103,25.6896,-18.0927,3.2896,1.5405,null,null,null,88.524,2054,6.345,,,,,,,,,,,54.1546,null,null,null,null,null,null,null,50,1
CH,Changeup,79.9,2.6234,5.6409,Hyun-Jin Ryu,field_out,hit_into_play,6,R,L,X,,,,,,,,,,,6,popup,0,0,2019,0.9519,0.7253,0.4852,2.2634,null,null,null,0,7,Bot,117.57,154.46,,,,,190928_215540,-6.5253,-116.2291,-2.0838,9.8793,21.8231,-25.3988,3.2169,1.5283,113,73.7,66.4,80.101,1594,6.45,,,,,,,,,,,54.0496,0.005,0.003,0,1,0,0,3,49,1
CH,Changeup,82.7,2.6336,5.4848,Hyun-Jin Ryu,field_out,hit_into_play,9,R,L,X,,,,,,,,,,,4,line_drive,1,1,2019,1.3723,0.5546,0.8088,1.9,null,null,null,2,6,Bot,112.64,139.57,,,,,190928_214626,-6.9074,-120.3144,-2.7558,14.8094,24.2405,-26.4038,3.6,1.69,154,81.3,12.1,83.072,1672,6.636,,,,,,,,,,,53.8635,0.56,0.539,0,1,0,0,4,45,3
