"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2019-09-25","93.1","-0.7957","5.7118","Jacob deGrom",595751,594798,"field_out","hit_into_play",,,,,9,"Jorge Alfaro flies out to right fielder Michael Conforto.  ","R","R","R","NYM","MIA","X",9,"fly_ball",3,2,2019,"0.1630","0.6315","0.7671","1.5410","null","null","null",2,7,"Top","174.84","97.36",,,467092,,"190926_011740","3.6877","-135.6932","-6.5284","1.4276","23.7917","-23.1492","3.1000","1.4500","288","81.2","30.5","94.8420","2489","6.7750",566066,594798,467092,624413,605412,453943,642708,607043,501571,624424,"53.7240","0.072","0.090","0.00",1,0,0,3,55,"8","Slider",9,0,0,9,0,9,0,9,"Standard","Standard"
"SL","2019-09-25","92.4","-1.0439","5.6872","Jacob deGrom",595751,594798,"null","foul",,,,,5,"null","R","R","R","NYM","MIA","S","null","null",3,2,2019,"0.1852","0.4188","0.1459","2.2414","null","null","null",2,7,"Top","null","null",,,467092,,"190926_011705","2.6399","-134.6538","-3.9795","1.7788","25.7803","-26.4291","3.4200","1.5800","4","77.5","-34.6","93.3410","2588","6.5020",566066,594798,467092,624413,605412,453943,642708,607043,501571,624424,"53.9979","null","null","null","null","null","null","null",55,"7","Slider",9,0,0,9,0,9,0,9,"Standard","Standard"
"SL","2019-09-25","91.4","-0.9611","5.6464","Jacob deGrom",595751,594798,"null","foul",,,,,14,"null","R","R","R","NYM","MIA","S","null","null",3,2,2019,"0.2434","0.3016","0.8376","2.3349","null","null","null",2,7,"Top","null","null",,,467092,,"190926_011631","4.0346","-133.1970","-3.2059","2.1465","26.2910","-28.0787","3.4200","1.5800","7","73.8","-18.8","92.4140","2553","6.6330",566066,594798,467092,624413,605412,453943,642708,607043,501571,624424,"53.8665","null","null","null","null","null","null","null",55,"6","Slider",9,0,0,9,0,9,0,9,"Standard","Standard"
"SL","2019-09-25","92.1","-0.8638","5.7235","Jacob deGrom",595751,594798,"null","ball",,,,,14,"null","R","R","R","NYM","MIA","B","null","null",2,2,2019,"0.2260","0.3419","1.8407","0.9052","null","null","null",2,7,"Top","null","null",,,467092,,"190926_011605","6.3998","-134.0492","-7.2228","1.4913","26.4874","-26.7665","3.5212","1.5796","null","null","null","92.7970","2536","6.5000",566066,594798,467092,624413,605412,453943,642708,607043,501571,624424,"53.9999","null","null","null","null","null","null","null",55,"5","Slider",9,0,0,9,0,9,0,9,"Standard","Standard"
"FF","2019-09-25","98.5","-0.7822","5.6657","Jacob deGrom",595751,594798,"null","ball",,,,,12,"null","R","R","R","NYM","MIA","B","null","null",1,2,2019,"-0.4797","1.3990","1.2569","3.7866","null","null","null",2,7,"Top","null","null",,,467092,,"190926_011545","6.7238","-143.4671","-2.9833","-8.2373","32.4304","-12.0993","3.5212","1.5796","null","null","null","99.4430","2460","6.7100",566066,594798,467092,624413,605412,453943,642708,607043,501571,624424,"53.7894","null","null","null","null","null","null","null",55,"4","4-Seam Fastball",9,0,0,9,0,9,0,9,"Standard","Standard"
"FF","2019-09-25","98.3","-0.8296","5.6251","Jacob deGrom",595751,594798,"null","foul",,,,,12,"null","R","R","R","NYM","MIA","S","null","null",1,1,2019,"-0.3835","1.2491","0.9201","2.6698","null","null","null",2,7,"Top","null","null",,,467092,,"190926_011520","5.8027","-143.2955","-5.7235","-6.7918","31.7460","-13.1244","3.4200","1.5800","311","94.5","23.6","100.7490","2322","7.4420",566066,594798,467092,624413,605412,453943,642708,607043,501571,624424,"53.0577","null","null","null","null","null","null","null",55,"3","4-Seam Fastball",9,0,0,9,0,9,0,9,"Standard","Standard"
"FF","2019-09-25","97.2","-0.9043","5.6363","Jacob deGrom",595751,594798,"null","foul_tip",,,,,3,"null","R","R","R","NYM","MIA","S","null","null",1,0,2019,"-0.3914","1.2064","0.5252","3.0883","null","null","null",2,7,"Top","null","null",,,467092,,"190926_011450","4.7601","-141.6498","-4.1564","-6.3368","29.9626","-15.0560","3.4200","1.5800","null","null","null","98.0660","2295","6.5310",566066,594798,467092,624413,605412,453943,642708,607043,501571,624424,"53.9689","null","null","null","null","null","null","null",55,"2","4-Seam Fastball",9,0,0,9,0,9,0,9,"Standard","Standard"
"FF","2019-09-25","97.6","-0.8723","5.6127","Jacob deGrom",595751,594798,"null","ball",,,,,12,"null","R","R","R","NYM","MIA","B","null","null",0,0,2019,"-0.3668","1.2288","1.0955","2.7934","null","null","null",2,7,"Top","null","null",,,467092,,"190926_011430","6.3016","-142.2098","-5.1593","-6.5318","30.6044","-13.8793","3.5472","1.6175","null","null","null","99.8750","2394","7.3370",566066,594798,467092,624413,605412,453943,642708,607043,501571,624424,"53.1626","null","null","null","null","null","null","null",55,"1","4-Seam Fastball",9,0,0,9,0,9,0,9,"Standard","Standard"
"SL","2019-09-25","92.2","-1.1190","5.6385","Jacob deGrom",623912,594798,"field_out","hit_into_play",,,,,5,"Harold Ramirez flies out to right fielder Michael Conforto.  ","R","R","R","NYM","MIA","X",9,"fly_ball",1,0,2019,"0.3124","0.5079","-0.0783","2.2469","null","null","null",1,7,"Top","192.01","117.95",,,467092,,"190926_011357","1.9721","-134.3382","-3.9718","3.4228","26.4604","-25.3902","3.4200","1.5800","249","74.8","35.8","92.8090","2582","6.3780",566066,594798,467092,624413,605412,453943,642708,607043,501571,624424,"54.1217","0.140","0.151","0.00",1,0,0,3,54,"2","Slider",9,0,0,9,0,9,0,9,"Standard","Standard"
"SL","2019-09-25","93.0","-0.9597","5.7165","Jacob deGrom",623912,594798,"null","ball",,,,,14,"null","R","R","R","NYM","MIA","B","null","null",0,0,2019,"0.3961","0.4642","1.7156","0.8250","null","null","null",1,7,"Top","null","null",,,467092,,"190926_011332","6.0124","-135.2427","-7.8426","3.6670","28.0928","-24.9769","3.0793","1.3996","null","null","null","93.6170","2590","6.5810",566066,594798,467092,624413,605412,453943,642708,607043,501571,624424,"53.9180","null","null","null","null","null","null","null",54,"1","Slider",9,0,0,9,0,9,0,9,"Standard","Standard"
