"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2019-09-28","86.9","-1.5046","6.9275","Justin Verlander",592743,434378,"field_out","hit_into_play",,,,,14,"Andrelton Simmons grounds out, third baseman Aledmys Diaz to first baseman Yuli Gurriel.  ","R","R","R","LAA","HOU","X",5,"ground_ball",0,1,2019,"0.6154","0.5058","0.4377","1.4554","null","null","null",2,6,"Bot","109.97","163.90",,,455139,,"190929_030504","3.3803","-126.3199","-7.8527","5.8135","23.3984","-25.6607","3.4500","1.6500","6","83.4","-14.6","85.9060","2560","5.5060",564813,434378,455139,493329,514888,649557,608324,502210,545350,663656,"54.9931","0.052","0.047","0.00",1,0,0,2,49,"2","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
"FF","2019-09-28","94.0","-1.4271","7.0639","Justin Verlander",592743,434378,"null","called_strike",,,,,4,"null","R","R","R","LAA","HOU","S","null","null",0,0,2019,"-0.6193","1.7116","-0.3770","2.4698","null","null","null",2,6,"Bot","null","null",,,455139,,"190929_030443","3.9971","-136.3983","-9.6995","-8.4297","30.5416","-9.4352","3.5046","1.6718","null","null","null","92.5950","2520","5.6500",564813,434378,455139,493329,514888,649557,608324,502210,545350,663656,"54.8495","null","null","null","null","null","null","null",49,"1","4-Seam Fastball",3,5,3,5,5,3,3,5,"Standard","Standard"
"FF","2019-09-28","94.8","-1.4189","6.9530","Justin Verlander",594777,434378,"strikeout","foul_tip",,,,,12,"Kole Calhoun strikes out on a foul tip.  ","R","L","R","LAA","HOU","S",2,"null",1,2,2019,"-0.7497","1.9699","0.0237","3.8187","null","null","null",1,6,"Bot","null","null",,,455139,,"190929_030355","5.3188","-137.6043","-6.6229","-10.5196","33.9893","-6.6312","3.0600","1.4900","null","null","null","92.9870","2618","5.6100",564813,434378,455139,493329,514888,649557,608324,502210,545350,663656,"54.8897","null","null","0.00",1,0,0,"null",48,"4","4-Seam Fastball",3,5,3,5,5,3,3,5,"Infield shift","Standard"
"CU","2019-09-28","80.4","-1.5797","6.7213","Justin Verlander",594777,434378,"null","ball",,,,,14,"null","R","L","R","LAA","HOU","B","null","null",0,2,2019,"0.8492","-1.2915","1.3106","1.9681","null","null","null",1,6,"Bot","null","null",,,455139,,"190929_030333","4.7545","-116.8025","-1.4281","6.4502","23.5786","-43.4535","2.9940","1.5031","null","null","null","78.3680","3012","5.1120",564813,434378,455139,493329,514888,649557,608324,502210,545350,663656,"55.3878","null","null","null","null","null","null","null",48,"3","Curveball",3,5,3,5,5,3,3,5,"Infield shift","Standard"
"FF","2019-09-28","94.6","-1.5962","6.9363","Justin Verlander",594777,434378,"null","swinging_strike",,,,,1,"null","R","L","R","LAA","HOU","S","null","null",0,1,2019,"-0.7580","1.8261","-0.5825","3.0127","null","null","null",1,6,"Bot","null","null",,,455139,,"190929_030307","4.1961","-137.1847","-8.2403","-10.2293","33.5721","-8.2771","3.0600","1.4900","null","null","null","92.4510","2663","5.4410",564813,434378,455139,493329,514888,649557,608324,502210,545350,663656,"55.0588","null","null","null","null","null","null","null",48,"2","4-Seam Fastball",3,5,3,5,5,3,3,5,"Infield shift","Standard"
"CH","2019-09-28","86.2","-1.8516","6.7501","Justin Verlander",594777,434378,"null","called_strike",,,,,7,"null","R","L","R","LAA","HOU","S","null","null",0,0,2019,"-1.4178","1.1882","-0.4236","1.6076","null","null","null",1,6,"Bot","null","null",,,455139,,"190929_030247","6.1763","-125.0616","-8.2392","-15.9300","25.9860","-18.4292","3.0600","1.4771","null","null","null","85.3430","2071","5.9690",564813,434378,455139,493329,514888,649557,608324,502210,545350,663656,"54.5304","null","null","null","null","null","null","null",48,"1","Changeup",3,5,3,5,5,3,3,5,"Infield shift","Standard"
"SL","2019-09-28","89.7","-1.5715","6.8750","Justin Verlander",405395,434378,"field_out","hit_into_play",,,,,9,"Albert Pujols lines out to right fielder Kyle Tucker.  ","R","R","R","LAA","HOU","X",9,"line_drive",1,1,2019,"0.3014","0.9699","0.6729","1.8600","null","null","null",0,6,"Bot","178.04","101.46",,,455139,,"190929_030210","4.8654","-130.2775","-8.3329","2.4409","25.0630","-19.9313","3.0600","1.4900","263","87.1","16.6","88.8970","2576","5.7090",564813,434378,455139,493329,514888,649557,608324,502210,545350,663656,"54.7906","0.830","0.770","0.00",1,0,0,4,47,"3","Slider",3,5,3,5,5,3,3,5,"Infield shift","Strategic"
"SL","2019-09-28","87.2","-1.5837","6.9046","Justin Verlander",405395,434378,"null","called_strike",,,,,2,"null","R","R","R","LAA","HOU","S","null","null",1,0,2019,"0.3451","0.6995","0.1360","2.7380","null","null","null",0,6,"Bot","null","null",,,455139,,"190929_030130","3.3987","-126.9141","-5.2299","3.0057","23.8807","-24.0378","3.2100","1.5604","null","null","null","86.3040","2603","5.5250",564813,434378,455139,493329,514888,649557,608324,502210,545350,663656,"54.9746","null","null","null","null","null","null","null",47,"2","Slider",3,5,3,5,5,3,3,5,"Infield shift","Strategic"
"SL","2019-09-28","85.8","-1.6464","6.9805","Justin Verlander",405395,434378,"null","ball",,,,,9,"null","R","R","R","LAA","HOU","B","null","null",0,0,2019,"0.3376","0.5587","0.6571","1.5797","null","null","null",0,6,"Bot","null","null",,,455139,,"190929_030116","4.7126","-124.6320","-7.5312","2.5874","22.6890","-25.3324","3.0132","1.4877","null","null","null","84.8410","2574","5.5530",564813,434378,455139,493329,514888,649557,608324,502210,545350,663656,"54.9463","null","null","null","null","null","null","null",47,"1","Slider",3,5,3,5,5,3,3,5,"Infield shift","Strategic"
"CU","2019-09-28","81.8","-1.7078","6.7669","Justin Verlander",571718,434378,"strikeout","swinging_strike",,,,,2,"Brian Goodwin strikes out swinging.  ","R","L","R","LAA","HOU","S",2,"null",2,2,2019,"0.6783","-0.7898","0.1743","3.3581","null","null","null",2,5,"Bot","null","null",,,455139,,"190929_023514","2.9272","-118.8686","0.3016","5.6124","22.1189","-39.6740","3.3200","1.5200","null","null","null","79.9620","2906","5.0310",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"55.4686","null","null","0.00",1,0,0,"null",38,"6","Curveball",3,0,3,0,0,3,3,0,"Infield shift","Strategic"
"SL","2019-09-28","87.8","-1.4441","6.9402","Justin Verlander",571718,434378,"null","foul",,,,,8,"null","R","L","R","LAA","HOU","S","null","null",2,2,2019,"0.2861","0.4594","0.0219","1.6374","null","null","null",2,5,"Bot","null","null",,,455139,,"190929_023447","2.9288","-127.5507","-7.5332","2.4692","25.1887","-26.0370","3.3200","1.5200","239","78.0","36.2","86.6620","2502","5.5670",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"54.9323","null","null","null","null","null","null","null",38,"5","Slider",3,0,3,0,0,3,3,0,"Infield shift","Strategic"
"SL","2019-09-28","86.5","-1.6434","6.8511","Justin Verlander",571718,434378,"null","swinging_strike",,,,,2,"null","R","L","R","LAA","HOU","S","null","null",2,1,2019,"0.4126","0.2794","0.0580","3.1967","null","null","null",2,5,"Bot","null","null",,,455139,,"190929_023422","3.1985","-125.9050","-3.0398","3.6429","25.0836","-28.9186","3.3200","1.5200","null","null","null","85.5130","2475","5.5940",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"54.9050","null","null","null","null","null","null","null",38,"4","Slider",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"FF","2019-09-28","93.6","-1.5152","6.9826","Justin Verlander",571718,434378,"null","foul",,,,,2,"null","R","L","R","LAA","HOU","S","null","null",2,0,2019,"-0.6228","1.6253","0.1229","2.9053","null","null","null",2,5,"Bot","null","null",,,455139,,"190929_023400","5.5158","-135.8972","-8.2139","-8.7643","28.4083","-10.8243","3.3200","1.5200","null","null","null","92.8420","2574","5.8600",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"54.6399","null","null","null","null","null","null","null",38,"3","4-Seam Fastball",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"FF","2019-09-28","95.1","-1.3935","6.9746","Justin Verlander",571718,434378,"null","ball",,,,,12,"null","R","L","R","LAA","HOU","B","null","null",1,0,2019,"-0.7627","1.6083","0.3381","4.6239","null","null","null",2,5,"Bot","null","null",,,455139,,"190929_023338","6.1315","-138.2131","-3.9694","-10.9304","31.0287","-11.3872","3.3200","1.5879","null","null","null","93.9630","2563","5.7070",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"54.7926","null","null","null","null","null","null","null",38,"2","4-Seam Fastball",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"FF","2019-09-28","94.7","-1.4664","6.9837","Justin Verlander",571718,434378,"null","ball",,,,,12,"null","R","L","R","LAA","HOU","B","null","null",0,0,2019,"-0.6249","1.6963","0.5297","3.8238","null","null","null",2,5,"Bot","null","null",,,455139,,"190929_023321","6.5618","-137.7073","-6.3135","-9.2968","29.1645","-9.5920","3.3200","1.4571","null","null","null","94.4860","2560","6.0990",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"54.4009","null","null","null","null","null","null","null",38,"1","4-Seam Fastball",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"SL","2019-09-28","87.0","-1.5062","6.9176","Justin Verlander",664058,434378,"strikeout","swinging_strike",,,,,12,"David Fletcher strikes out swinging.  ","R","R","R","LAA","HOU","S",2,"null",0,2,2019,"0.7017","0.3990","1.4203","3.3287","null","null","null",1,5,"Bot","null","null",,,455139,,"190929_023243","5.5493","-126.6209","-3.2440","6.3592","23.6100","-27.5972","3.2200","1.5400","null","null","null","86.2090","2626","5.5780",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"54.9210","null","null","0.00",1,0,0,"null",37,"4","Slider",3,0,3,0,0,3,3,0,"Standard","Standard"
"CU","2019-09-28","80.4","-1.8278","6.6381","Justin Verlander",664058,434378,"null","foul",,,,,7,"null","R","R","R","LAA","HOU","S","null","null",0,2,2019,"0.3947","-1.0943","-0.4426","1.5218","null","null","null",1,5,"Bot","null","null",,,455139,,"190929_023212","2.3011","-116.9008","-2.6145","3.0062","22.5166","-41.5236","3.2200","1.5400","132","80.8","9.7","78.4350","2814","4.9990",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"55.5008","null","null","null","null","null","null","null",37,"3","Curveball",3,0,3,0,0,3,3,0,"Standard","Standard"
"CU","2019-09-28","78.8","-1.5396","6.8660","Justin Verlander",664058,434378,"null","called_strike",,,,,1,"null","R","R","R","LAA","HOU","S","null","null",0,1,2019,"0.5007","-1.2055","-0.3093","3.1075","null","null","null",1,5,"Bot","null","null",,,455139,,"190929_023150","1.7441","-114.5249","0.7845","3.9135","21.2171","-42.7933","3.1319","1.4103","null","null","null","77.2020","2823","5.2220",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"55.2775","null","null","null","null","null","null","null",37,"2","Curveball",3,0,3,0,0,3,3,0,"Standard","Standard"
"SL","2019-09-28","87.9","-1.5992","6.9663","Justin Verlander",664058,434378,"null","called_strike",,,,,6,"null","R","R","R","LAA","HOU","S","null","null",0,0,2019,"0.1796","0.7006","0.6798","2.3968","null","null","null",1,5,"Bot","null","null",,,455139,,"190929_023131","5.0914","-127.7605","-6.3436","1.0034","23.3621","-23.6910","3.2921","1.6261","null","null","null","87.1670","2555","5.6390",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"54.8608","null","null","null","null","null","null","null",37,"1","Slider",3,0,3,0,0,3,3,0,"Standard","Standard"
"SL","2019-09-28","87.2","-1.5395","6.9201","Justin Verlander",592230,434378,"strikeout","swinging_strike",,,,,9,"Kaleb Cowart strikes out swinging.  ","R","L","R","LAA","HOU","S",2,"null",2,2,2019,"0.4929","0.6339","0.7389","1.7368","null","null","null",0,5,"Bot","null","null",,,455139,,"190929_023058","4.4234","-126.7063","-7.4600","4.3253","24.3254","-24.3311","3.4900","1.6100","null","null","null","86.0300","2601","5.4840",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"55.0159","null","null","0.00",1,0,0,"null",36,"6","Slider",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"CU","2019-09-28","80.6","-1.7105","6.8071","Justin Verlander",592230,434378,"null","ball",,,,,14,"null","R","L","R","LAA","HOU","B","null","null",1,2,2019,"0.6204","-1.1111","1.3827","0.9695","null","null","null",0,5,"Bot","null","null",,,455139,,"190929_023034","5.5769","-116.8938","-4.1428","4.2805","22.6756","-41.2827","3.3047","1.6169","null","null","null","77.9840","2916","4.6910",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"55.8085","null","null","null","null","null","null","null",36,"5","Curveball",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"SL","2019-09-28","87.4","-1.6181","7.0087","Justin Verlander",592230,434378,"null","foul",,,,,6,"null","R","L","R","LAA","HOU","S","null","null",1,2,2019,"0.2086","0.7841","0.3977","2.7298","null","null","null",0,5,"Bot","null","null",,,455139,,"190929_023003","4.3961","-127.1306","-5.7497","1.4256","23.4973","-22.9172","3.4900","1.6100","null","null","null","87.0020","2528","5.8390",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"54.6604","null","null","null","null","null","null","null",36,"4","Slider",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"CU","2019-09-28","80.0","-1.7690","6.7195","Justin Verlander",592230,434378,"null","ball",,,,,14,"null","R","L","R","LAA","HOU","B","null","null",0,2,2019,"0.5736","-1.2520","1.3371","1.3938","null","null","null",0,5,"Bot","null","null",,,455139,,"190929_022945","5.6837","-116.1600","-2.6807","3.8965","22.2008","-42.8174","3.4501","1.6274","null","null","null","78.2150","2948","5.1970",564813,434378,455139,493329,514888,649557,608324,502210,545350,543807,"55.3029","null","null","null","null","null","null","null",36,"3","Curveball",3,0,3,0,0,3,3,0,"Infield shift","Standard"
