"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Mike Trout","Angels","150","679","530","157","30","3","44","127","111","127","136","12","14","5","",".297",".440",".612","1.052",".427","","173","3.2","-1.7","","66.9","0.6","8.9","","2.2","10155"
"Alex Bregman","Astros","150","654","546","157","38","2","32","103","107","93","84","8","6","3","",".287",".396",".542",".938",".391","","150","0.0","-1.8","","41.9","0.9","6.4","","13.4","17678"
"Francisco Lindor","Indians","150","696","619","179","40","2","36","114","94","60","100","6","22","7","",".289",".355",".532",".887",".365","","125","0.7","7.8","","23.0","15.3","6.1","","7.4","12916"
"Cody Bellinger","Dodgers","150","639","543","156","30","3","42","100","116","86","116","4","12","5","",".287",".386",".585",".970",".392","","147","1.2","0.8","","40.9","0.7","6.0","","4.4","15998"
"Mookie Betts","Dodgers","150","695","595","167","39","3","32","114","85","83","102","6","18","5","",".280",".371",".517",".888",".369","","132","4.7","12.7","","33.8","5.3","6.0","","5.0","13611"
"Anthony Rendon","Angels","149","659","568","162","37","2","28","93","100","76","97","9","4","2","",".284",".374",".507",".881",".367","","133","0.9","4.2","","28.6","6.7","5.7","","19.8","12861"
"Christian Yelich","Brewers","150","667","568","173","35","4","36","107","105","86","137","7","22","7","",".304",".399",".567",".966",".396","","145","3.3","0.7","","42.5","-6.7","5.6","","2.8","11477"
"Matt Chapman","Athletics","150","663","578","149","35","3","35","94","102","69","156","9","3","1","",".258",".343",".511",".854",".356","","126","1.5","7.5","","23.6","10.0","5.5","","87.0","16505"
"Jose Ramirez","Indians","150","648","565","157","39","3","31","95","105","72","84","5","23","8","",".278",".362",".524",".886",".366","","126","3.8","2.7","","25.1","5.2","5.2","","14.8","13510"
"Josh Donaldson","Twins","144","624","522","140","29","1","35","95","104","91","146","6","4","2","",".268",".379",".528",".907",".379","","137","-0.4","0.9","","29.2","1.6","5.1","","84.0","5038"
"George Springer","Astros","144","668","573","157","28","2","34","109","88","77","133","8","8","3","",".274",".365",".511",".876",".367","","134","0.7","-1.6","","29.4","-0.8","5.1","","40.0","12856"
"Yasmani Grandal","White Sox","128","550","458","110","21","2","26","74","77","83","132","4","3","1","",".239",".358",".460",".818",".348","","119","-3.2","0.3","","10.4","7.5","5.0","","101.2","11368"
"Rafael Devers","Red Sox","150","668","604","181","44","3","33","105","104","51","118","4","10","5","",".300",".356",".547",".903",".371","","129","1.5","-1.0","","26.0","1.3","4.9","","20.8","17350"
